nonlinearity,lambda,p_n,n_d,gen_error
sign,0.0001,0.3,2.0,0.7643511837218876
sign,0.0001,0.4,2.0,0.6985056435491674
sign,0.0001,0.5,2.0,0.6530141982308381
sign,0.0001,0.6,2.0,0.6366065504764699
sign,0.0001,0.7,2.0,0.6593952064716238
sign,0.0001,0.8,2.0,0.7367511798840729
sign,0.0001,0.9,2.0,0.89666555633539
sign,0.0001,1.0,2.0,1.115613437684601
sign,0.0001,1.1,2.0,0.874285996231992
sign,0.0001,1.2,2.0,0.6942786642413619
sign,0.0001,1.3,2.0,0.5798213508651515
sign,0.0001,1.4,2.0,0.5011735319389858
sign,0.0001,1.5,2.0,0.44388707717013665
sign,0.0001,1.6,2.0,0.40032147535865237
sign,0.0001,1.7,2.0,0.36608191306838567
sign,0.0001,1.8,2.0,0.3384663579338827
sign,0.0001,1.9,2.0,0.3157235327532295
sign,0.0001,2.0,2.0,0.29666902944233353
sign,0.0001,2.1,2.0,0.280473303865973
sign,0.0001,2.2,2.0,0.26653811495251123
sign,0.0001,2.3,2.0,0.2544211977689026
sign,0.0001,2.4,2.0,0.24378855967046364
sign,0.0001,2.5,2.0,0.23438326824112332
sign,0.001,0.3,2.0,0.7642865193001527
sign,0.001,0.4,2.0,0.6983181873674824
sign,0.001,0.5,2.0,0.6524648890809782
sign,0.001,0.6,2.0,0.6350237937090724
sign,0.001,0.7,2.0,0.6548244182885407
sign,0.001,0.8,2.0,0.7226394962817373
sign,0.001,0.9,2.0,0.8444109285609018
sign,0.001,1.0,2.0,0.9300436242235612
sign,0.001,1.1,2.0,0.8076265225342767
sign,0.001,1.2,2.0,0.6671844669720162
sign,0.001,1.3,2.0,0.5656384218401351
sign,0.001,1.4,2.0,0.49259208444992253
sign,0.001,1.5,2.0,0.4382057497574696
sign,0.001,1.6,2.0,0.3963277771656135
sign,0.001,1.7,2.0,0.3631548678121781
sign,0.001,1.8,2.0,0.33625620607506734
sign,0.001,1.9,2.0,0.3140186141450796
sign,0.001,2.0,2.0,0.2953338623013346
sign,0.001,2.1,2.0,0.27941716824154605
sign,0.001,2.2,2.0,0.26569797344977664
sign,0.001,2.3,2.0,0.2537518726365562
sign,0.001,2.4,2.0,0.24325681256382836
sign,0.001,2.5,2.0,0.23396408819058379
sign,0.01,0.3,2.0,0.7636592438908701
sign,0.01,0.4,2.0,0.6965386810134904
sign,0.01,0.5,2.0,0.6474132809148966
sign,0.01,0.6,2.0,0.6212359169893837
sign,0.01,0.7,2.0,0.6189378152964138
sign,0.01,0.8,2.0,0.6337130017707335
sign,0.01,0.9,2.0,0.6457517314320966
sign,0.01,1.0,2.0,0.630331491840467
sign,0.01,1.1,2.0,0.585707498039356
sign,0.01,1.2,2.0,0.5305542144093272
sign,0.01,1.3,2.0,0.4785233216409408
sign,0.01,1.4,2.0,0.43392445189777895
sign,0.01,1.5,2.0,0.39680199117813775
sign,0.01,1.6,2.0,0.36602065596183886
sign,0.01,1.7,2.0,0.3403472773717511
sign,0.01,1.8,2.0,0.3187351469652866
sign,0.01,1.9,2.0,0.300357490801322
sign,0.01,2.0,2.0,0.28457542824382687
sign,0.01,2.1,2.0,0.2708967140192178
sign,0.01,2.2,2.0,0.2589401411668444
sign,0.01,2.3,2.0,0.24840796274509058
sign,0.01,2.4,2.0,0.2390653144271695
sign,0.01,2.5,2.0,0.2307250411942703
sign,0.1,0.3,2.0,0.7590090061411418
sign,0.1,0.4,2.0,0.6856023541533874
sign,0.1,0.5,2.0,0.6224585323269255
sign,0.1,0.6,2.0,0.569450656544536
sign,0.1,0.7,2.0,0.524682794585137
sign,0.1,0.8,2.0,0.48615195729746485
sign,0.1,0.9,2.0,0.45251861232063806
sign,0.1,1.0,2.0,0.4230322177030552
sign,0.1,1.1,2.0,0.3972159655748482
sign,0.1,1.2,2.0,0.374665350592726
sign,0.1,1.3,2.0,0.3549859504794276
sign,0.1,1.4,2.0,0.3377961134649692
sign,0.1,1.5,2.0,0.322742888013826
sign,0.1,1.6,2.0,0.3095127592729108
sign,0.1,1.7,2.0,0.297834932294456
sign,0.1,1.8,2.0,0.2874795628266228
sign,0.1,1.9,2.0,0.27825347111577825
sign,0.1,2.0,2.0,0.2699950448225171
sign,0.1,2.1,2.0,0.2625692368945012
sign,0.1,2.2,2.0,0.25586307442628
sign,0.1,2.3,2.0,0.2497818076155578
sign,0.1,2.4,2.0,0.24424569269172625
sign,0.1,2.5,2.0,0.23918734484356818
sign,1.0,0.3,2.0,0.7651212630034131
sign,1.0,0.4,2.0,0.7079389085433351
sign,1.0,0.5,2.0,0.6634122430434211
sign,1.0,0.6,2.0,0.6287085181657064
sign,1.0,0.7,2.0,0.6013265302437648
sign,1.0,0.8,2.0,0.5793745514894234
sign,1.0,0.9,2.0,0.5614872479870399
sign,1.0,1.0,2.0,0.5466875573625551
sign,1.0,1.1,2.0,0.5342714333805678
sign,1.0,1.2,2.0,0.523724850919744
sign,1.0,1.3,2.0,0.5146667745920823
sign,1.0,1.4,2.0,0.5068102578706332
sign,1.0,1.5,2.0,0.4999359524266851
sign,1.0,1.6,2.0,0.4938737767874438
sign,1.0,1.7,2.0,0.48849009749885575
sign,1.0,1.8,2.0,0.48367863072864714
sign,1.0,1.9,2.0,0.4793538913001677
sign,1.0,2.0,2.0,0.4754464098001454
sign,1.0,2.1,2.0,0.471899193880724
sign,1.0,2.2,2.0,0.4686650770419688
sign,1.0,2.3,2.0,0.4657047087686399
sign,1.0,2.4,2.0,0.4629850139552907
sign,1.0,2.5,2.0,0.46047799978528936
erf,0.0001,0.3,2.0,0.7036497336843519
erf,0.0001,0.4,2.0,0.6098109347993996
erf,0.0001,0.5,2.0,0.5718879946377269
erf,0.0001,0.6,2.0,0.6432957367321486
erf,0.0001,0.7,2.0,0.8632780232690376
erf,0.0001,0.8,2.0,1.2973174635466493
erf,0.0001,0.9,2.0,2.1037438739936105
erf,0.0001,1.0,2.0,3.025604018619973
erf,0.0001,1.1,2.0,2.5017632733079758
erf,0.0001,1.2,2.0,1.9280029753040584
erf,0.0001,1.3,2.0,1.5826759336098646
erf,0.0001,1.4,2.0,1.3627084123921498
erf,0.0001,1.5,2.0,1.2120143272638622
erf,0.0001,1.6,2.0,1.1027558293011082
erf,0.0001,1.7,2.0,1.0200548014363287
erf,0.0001,1.8,2.0,0.9553362886284071
erf,0.0001,1.9,2.0,0.903336969937095
erf,0.0001,2.0,2.0,0.8606561137199609
erf,0.0001,2.1,2.0,0.8250020345838491
erf,0.0001,2.2,2.0,0.7947755280168025
erf,0.0001,2.3,2.0,0.7688273616795929
erf,0.0001,2.4,2.0,0.7463107533540647
erf,0.0001,2.5,2.0,0.7265881945067447
erf,0.001,0.3,2.0,0.7032849254651856
erf,0.001,0.4,2.0,0.6089636577970574
erf,0.001,0.5,2.0,0.5682327725236831
erf,0.001,0.6,2.0,0.6263568513876505
erf,0.001,0.7,2.0,0.7983305641349396
erf,0.001,0.8,2.0,1.071153795787345
erf,0.001,0.9,2.0,1.3726953418429604
erf,0.001,1.0,2.0,1.5395991444633321
erf,0.001,1.1,2.0,1.5064529942847762
erf,0.001,1.2,2.0,1.3825601734527022
erf,0.001,1.3,2.0,1.2535520877136874
erf,0.001,1.4,2.0,1.1441141109043287
erf,0.001,1.5,2.0,1.0556967696268507
erf,0.001,1.6,2.0,0.9845880577359887
erf,0.001,1.7,2.0,0.9268710396020203
erf,0.001,1.8,2.0,0.8794065730166434
erf,0.001,1.9,2.0,0.8398421990945963
erf,0.001,2.0,2.0,0.8064400197805985
erf,0.001,2.1,2.0,0.7779110873755102
erf,0.001,2.2,2.0,0.7532890521950892
erf,0.001,2.3,2.0,0.7318398465936811
erf,0.001,2.4,2.0,0.712998210787116
erf,0.001,2.5,2.0,0.6963230791386685
erf,0.01,0.3,2.0,0.6999672914499941
erf,0.01,0.4,2.0,0.6021805148336448
erf,0.01,0.5,2.0,0.5440246292600621
erf,0.01,0.6,2.0,0.5390604138106863
erf,0.01,0.7,2.0,0.5673555782292741
erf,0.01,0.8,2.0,0.6018431429391753
erf,0.01,0.9,2.0,0.6274096938370555
erf,0.01,1.0,2.0,0.6407118799076033
erf,0.01,1.1,2.0,0.6440041487591526
erf,0.01,1.2,2.0,0.6407001899716165
erf,0.01,1.3,2.0,0.6336075541146793
erf,0.01,1.4,2.0,0.6246220995301022
erf,0.01,1.5,2.0,0.6149058276444768
erf,0.01,1.6,2.0,0.6051282405618879
erf,0.01,1.7,2.0,0.5956535885791929
erf,0.01,1.8,2.0,0.5866647105296272
erf,0.01,1.9,2.0,0.5782394436948814
erf,0.01,2.0,2.0,0.5703964481400339
erf,0.01,2.1,2.0,0.5631221410146627
erf,0.01,2.2,2.0,0.5563863970909162
erf,0.01,2.3,2.0,0.5501516472931098
erf,0.01,2.4,2.0,0.5443780015710569
erf,0.01,2.5,2.0,0.5390260720970808
erf,0.1,0.3,2.0,0.6852510119355314
erf,0.1,0.4,2.0,0.590272586246775
erf,0.1,0.5,2.0,0.5221542205006391
erf,0.1,0.6,2.0,0.4775483065231958
erf,0.1,0.7,2.0,0.4487305042801524
erf,0.1,0.8,2.0,0.429625610500848
erf,0.1,0.9,2.0,0.41645515133521127
erf,0.1,1.0,2.0,0.40700369607895226
erf,0.1,1.1,2.0,0.399967883133012
erf,0.1,1.2,2.0,0.39456049658644377
erf,0.1,1.3,2.0,0.3902898361423688
erf,0.1,1.4,2.0,0.386838030716639
erf,0.1,1.5,2.0,0.3839927619376402
erf,0.1,1.6,2.0,0.38160789733119094
erf,0.1,1.7,2.0,0.379580095440172
erf,0.1,1.8,2.0,0.37783447687999594
erf,0.1,1.9,2.0,0.3763155918575225
erf,0.1,2.0,2.0,0.37498157134502175
erf,0.1,2.1,2.0,0.3738002375835696
erf,0.1,2.2,2.0,0.372746495588671
erf,0.1,2.3,2.0,0.37180046298857716
erf,0.1,2.4,2.0,0.3709462055557482
erf,0.1,2.5,2.0,0.37017080079049114
erf,1.0,0.3,2.0,0.7305855320846791
erf,1.0,0.4,2.0,0.6865859897735467
erf,1.0,0.5,2.0,0.6564243728801709
erf,1.0,0.6,2.0,0.6348261765545384
erf,1.0,0.7,2.0,0.6187351342748018
erf,1.0,0.8,2.0,0.6063416512915241
erf,1.0,0.9,2.0,0.5965302192528816
erf,1.0,1.0,2.0,0.5885841927754991
erf,1.0,1.1,2.0,0.5820254886639775
erf,1.0,1.2,2.0,0.5765244081449274
erf,1.0,1.3,2.0,0.5718469073903332
erf,1.0,1.4,2.0,0.5678226039277634
erf,1.0,1.5,2.0,0.5643246967006084
erf,1.0,1.6,2.0,0.5612569738502177
erf,1.0,1.7,2.0,0.558545174177718
erf,1.0,1.8,2.0,0.5561311015703618
erf,1.0,1.9,2.0,0.553968526418472
erf,1.0,2.0,2.0,0.5520202747693943
erf,1.0,2.1,2.0,0.5502561240017582
erf,1.0,2.2,2.0,0.5486512568962797
erf,1.0,2.3,2.0,0.547185109203196
erf,1.0,2.4,2.0,0.5458404990086775
erf,1.0,2.5,2.0,0.54460296090872
