nonlinearity,lambda,Delta,p_n,n_d,gen_error
sign,0.0001,0.0,0.3,2.0,0.601410448966573
sign,0.0001,0.0,0.4,2.0,0.44037134017160084
sign,0.0001,0.0,0.5,2.0,0.2760018555383169
sign,0.0001,0.0,0.6,2.0,0.10873322525296958
sign,0.0001,0.1,0.3,2.0,0.626780325983294
sign,0.0001,0.1,0.4,2.0,0.4765017429882713
sign,0.0001,0.1,0.5,2.0,0.3254921471446818
sign,0.0001,0.1,0.6,2.0,0.17565838157538716
sign,0.0001,0.1,0.7,2.0,0.02357844772915918
sign,0.0001,0.5,0.3,2.0,0.7282598340501778
sign,0.0001,0.5,0.4,2.0,0.6210233542549531
sign,0.0001,0.5,0.5,2.0,0.5234533135701404
sign,0.0001,0.5,0.6,2.0,0.4433590068650579
sign,0.0001,0.5,0.7,2.0,0.38632667172238344
sign,0.0001,0.5,0.8,2.0,0.3578208414947477
sign,0.0001,0.5,0.9,2.0,0.36645860164306243
sign,0.0001,0.5,1.0,2.0,0.3982900210977247
sign,0.0001,0.5,1.1,2.0,0.26213279005885437
sign,0.0001,0.5,1.2,2.0,0.16883785612325175
sign,0.0001,0.5,1.3,2.0,0.10979990228427261
sign,0.0001,0.5,1.4,2.0,0.06929354573840008
sign,0.0001,0.5,1.5,2.0,0.039810136752557845
sign,0.0001,0.5,1.6,2.0,0.017397694417125242
sign,0.0001,1.0,0.3,2.0,0.8551092191337826
sign,0.0001,1.0,0.4,2.0,0.8016753683383054
sign,0.0001,1.0,0.5,2.0,0.770904771601964
sign,0.0001,1.0,0.6,2.0,0.7779847884771462
sign,0.0001,1.0,0.7,2.0,0.8397619517139137
sign,0.0001,1.0,0.8,2.0,0.9807410531379739
sign,0.0001,1.0,0.9,2.0,1.244283997965945
sign,0.0001,1.0,1.0,2.0,1.5890945200289353
sign,0.0001,1.0,1.1,2.0,1.195833082019244
sign,0.0001,1.0,1.2,2.0,0.9042505884596606
sign,0.0001,1.0,1.3,2.0,0.7189118752536292
sign,0.0001,1.0,1.4,2.0,0.5915725288343894
sign,0.0001,1.0,1.5,2.0,0.4988243080357204
sign,0.0001,1.0,1.6,2.0,0.4282925975650269
sign,0.0001,1.0,1.7,2.0,0.3728606057966679
sign,0.0001,1.0,1.8,2.0,0.32815312921898165
sign,0.0001,1.0,1.9,2.0,0.29133460012594603
sign,0.0001,1.0,2.0,2.0,0.2604873606094906
sign,0.0001,1.0,2.1,2.0,0.2342683420487266
sign,0.0001,1.0,2.2,2.0,0.21170898429029505
sign,0.0001,1.0,2.3,2.0,0.19209326529183657
sign,0.0001,1.0,2.4,2.0,0.17488046110681643
sign,0.0001,1.0,2.5,2.0,0.15965461001556625
sign,0.001,0.0,0.3,2.0,0.6014983226198862
sign,0.001,0.0,0.4,2.0,0.4406656312724583
sign,0.001,0.0,0.5,2.0,0.27676814936659966
