nonlinearity,lambda,p_n,n_d,gen_error
sign,0.0001,0.4,0.8,1.112167694513219
sign,0.0001,0.7,0.8,1.3166930634424945
sign,0.0001,1.0,0.8,1.7751162436974495
sign,0.0001,1.3,0.8,1.151203631314047
sign,0.0001,1.6,0.8,0.9198796945274046
sign,0.0001,1.9,0.8,0.8046870825973937
sign,0.0001,2.2,0.8,0.7357547566186273
sign,0.0001,0.4,1.1,0.9975864553336493
sign,0.0001,0.7,1.1,1.0914546213218146
sign,0.0001,1.0,1.1,1.4481838307752586
sign,0.0001,1.3,1.1,0.9113576986791535
sign,0.0001,1.6,1.1,0.7140154003171144
sign,0.0001,1.9,1.1,0.6163371669588258
sign,0.0001,2.2,1.1,0.5580757783825296
sign,0.0001,0.4,1.4,0.8900020773283999
sign,0.0001,0.7,1.4,0.9109696068843222
sign,0.0001,1.0,1.4,1.256490910617194
sign,0.0001,1.3,1.4,0.7513854880034972
sign,0.0001,1.6,1.4,0.5698887340056578
sign,0.0001,1.9,1.4,0.4812453338407289
sign,0.0001,2.2,1.4,0.4287464089563653
sign,0.0001,0.4,1.7,0.7901566787070509
sign,0.0001,0.7,1.7,0.769152758374645
sign,0.0001,1.0,1.7,1.155328861313075
sign,0.0001,1.3,1.7,0.6468120091316267
sign,0.0001,1.6,1.7,0.4698383216899704
sign,0.0001,1.9,1.7,0.3848708098758238
sign,0.0001,2.2,1.7,0.33499738481751584
sign,0.0001,0.4,2.0,0.6985056435491674
sign,0.0001,0.7,2.0,0.6593952064716238
sign,0.0001,1.0,2.0,1.115613437684601
sign,0.0001,1.3,2.0,0.5798213508651515
sign,0.0001,1.6,2.0,0.40032147535865237
sign,0.0001,1.9,2.0,0.3157235327532295
sign,0.0001,2.2,2.0,0.26653811495251123
sign,0.001,0.4,0.8,1.1116436907622556
sign,0.001,0.7,0.8,1.3107303834935344
sign,0.001,1.0,0.8,1.6214957808719501
sign,0.001,1.3,0.8,1.140092347885856
sign,0.001,1.6,0.8,0.9166114600116834
sign,0.001,1.9,0.8,0.8032561343203455
sign,0.001,2.2,0.8,0.7350336865921976
sign,0.001,0.4,1.1,0.9971564694334373
sign,0.001,0.7,1.1,1.0863701561748345
sign,0.001,1.0,1.1,1.3091008955333974
sign,0.001,1.3,1.1,0.9010958517811171
sign,0.001,1.6,1.1,0.7111366602154984
sign,0.001,1.9,1.1,0.6151665888741892
sign,0.001,2.2,1.1,0.5575577002578639
sign,0.001,0.4,1.4,0.8896616974548299
sign,0.001,0.7,1.4,0.9063678069090937
sign,0.001,1.0,1.4,1.1128597541702439
sign,0.001,1.3,1.4,0.7405730810959096
sign,0.001,1.6,1.4,0.5668962099791836
sign,0.001,1.9,1.4,0.4800439547239388
sign,0.001,2.2,1.4,0.4282252951700921
sign,0.001,0.4,1.7,0.7898980428429213
sign,0.001,0.7,1.7,0.7646985874280402
sign,0.001,1.0,1.7,0.9949823244676568
sign,0.001,1.3,1.7,0.634573088123654
sign,0.001,1.6,1.7,0.4664265703661086
sign,0.001,1.9,1.7,0.38346275353863124
sign,0.001,2.2,1.7,0.3343483703423358
sign,0.001,0.4,2.0,0.6983181873674824
sign,0.001,0.7,2.0,0.6548244182885407
sign,0.001,1.0,2.0,0.9300436242235612
sign,0.001,1.3,2.0,0.5656384218401351
sign,0.001,1.6,2.0,0.3963277771656135
sign,0.001,1.9,2.0,0.3140186141450796
sign,0.001,2.2,2.0,0.26569797344977664
sign,0.01,0.4,0.8,1.1065362045663283
sign,0.01,0.7,0.8,1.2599046042126807
sign,0.01,1.0,0.8,1.312687973436363
sign,0.01,1.3,0.8,1.06084519505793
sign,0.01,1.6,0.8,0.8892175495541756
sign,0.01,1.9,0.8,0.790724060415128
sign,0.01,2.2,0.8,0.7286438709708409
sign,0.01,0.4,1.1,0.9929791256697806
sign,0.01,0.7,1.1,1.0438299964727666
sign,0.01,1.0,1.1,1.0434933865709854
sign,0.01,1.3,1.1,0.8312721992455043
sign,0.01,1.6,1.1,0.6878995168422246
sign,0.01,1.9,1.1,0.6053384665025207
sign,0.01,2.2,1.1,0.5532458764735397
sign,0.01,0.4,1.4,0.8863701372613446
sign,0.01,0.7,1.4,0.8686947479945246
sign,0.01,1.0,1.4,0.8544288187516762
sign,0.01,1.3,1.4,0.6701174282942252
sign,0.01,1.6,1.4,0.5434890921042481
sign,0.01,1.9,1.4,0.47027509813047574
sign,0.01,2.2,1.4,0.4240732480673086
sign,0.01,0.4,1.7,0.7874144540478801
sign,0.01,0.7,1.7,0.7290325931335184
sign,0.01,1.0,1.7,0.7223446089588237
sign,0.01,1.3,1.7,0.557461794602591
sign,0.01,1.6,1.7,0.44025299608549595
sign,0.01,1.9,1.7,0.37215819873805533
sign,0.01,2.2,1.7,0.3291911169826731
sign,0.01,0.4,2.0,0.6965386810134904
sign,0.01,0.7,2.0,0.6189378152964138
sign,0.01,1.0,2.0,0.630331491840467
sign,0.01,1.3,2.0,0.4785233216409408
sign,0.01,1.6,2.0,0.36602065596183886
sign,0.01,1.9,2.0,0.300357490801322
sign,0.01,2.2,2.0,0.2589401411668444
sign,0.1,0.4,0.8,1.065910832565042
sign,0.1,0.7,0.8,1.0546181171664561
sign,0.1,1.0,0.8,0.963649982241935
sign,0.1,1.3,0.8,0.8658590525772187
sign,0.1,1.6,0.8,0.7929598812875716
sign,0.1,1.9,0.8,0.7415460985301399
sign,0.1,2.2,0.8,0.7045401658387015
sign,0.1,0.4,1.1,0.9606913884532174
sign,0.1,0.7,1.1,0.8866485750530478
sign,0.1,1.0,1.1,0.7800029459445648
sign,0.1,1.3,1.1,0.6886393773829921
sign,0.1,1.6,1.1,0.6244012250934479
sign,0.1,1.9,1.1,0.5799416949236526
sign,0.1,2.2,1.1,0.5481781852298298
sign,0.1,0.4,1.4,0.8619677566629418
sign,0.1,0.7,1.4,0.7442568121806741
sign,0.1,1.0,1.4,0.6332969386652287
sign,0.1,1.3,1.4,0.5497124263327055
sign,0.1,1.6,1.4,0.4928685137860823
sign,0.1,1.9,1.4,0.4538888722135248
sign,0.1,2.2,1.4,0.4261169240492215
sign,0.1,0.4,1.7,0.7701924027328575
sign,0.1,0.7,1.7,0.6246248689772838
sign,0.1,1.0,1.7,0.5163731903958455
sign,0.1,1.3,1.7,0.4407903935466926
sign,0.1,1.6,1.7,0.39016930299394914
sign,0.1,1.9,1.7,0.3555128108271287
sign,0.1,2.2,1.7,0.33079136526417374
sign,0.1,0.4,2.0,0.6856023541533874
sign,0.1,0.7,2.0,0.524682794585137
sign,0.1,1.0,2.0,0.4230322177030552
sign,0.1,1.3,2.0,0.3549859504794276
sign,0.1,1.6,2.0,0.3095127592729108
sign,0.1,1.9,2.0,0.27825347111577825
sign,0.1,2.2,2.0,0.25586307442628
erf,0.0001,0.4,0.8,1.1820693076093733
erf,0.0001,0.7,0.8,1.5802878968835632
erf,0.0001,1.0,0.8,2.5136842723319415
erf,0.0001,1.3,0.8,1.6041520610553657
erf,0.0001,1.6,0.8,1.2949345818515652
erf,0.0001,1.9,0.8,1.1532033860349629
erf,0.0001,2.2,0.8,1.0720442261093626
erf,0.0001,0.4,1.1,1.0296106025230625
erf,0.0001,0.7,1.1,1.1987420128980801
erf,0.0001,1.0,1.1,2.006132344991112
erf,0.0001,1.3,1.1,1.3905546101119246
erf,0.0001,1.6,1.1,1.150220881088769
erf,0.0001,1.9,1.1,1.0394192558887911
erf,0.0001,2.2,1.1,0.9758848768091481
erf,0.0001,0.4,1.4,0.8796161085084093
erf,0.0001,0.7,1.4,0.952405010175988
erf,0.0001,1.0,1.4,2.155811112225318
erf,0.0001,1.3,1.4,1.40604172926248
erf,0.0001,1.6,1.4,1.109585319342921
erf,0.0001,1.9,1.4,0.9771728097103483
erf,0.0001,2.2,1.4,0.9025210678172244
erf,0.0001,0.4,1.7,0.7372388214616904
erf,0.0001,0.7,1.7,0.8573668678209305
erf,0.0001,1.0,1.7,2.5696622174903254
erf,0.0001,1.3,1.7,1.4939820500441148
erf,0.0001,1.6,1.7,1.1028123454481098
erf,0.0001,1.9,1.7,0.9348612762735367
erf,0.0001,2.2,1.7,0.8419997228460281
erf,0.0001,0.4,2.0,0.6098109347993996
erf,0.0001,0.7,2.0,0.8632780232690376
erf,0.0001,1.0,2.0,3.025604018619973
erf,0.0001,1.3,2.0,1.5826759336098646
erf,0.0001,1.6,2.0,1.1027558293011082
erf,0.0001,1.9,2.0,0.903336969937095
erf,0.0001,2.2,2.0,0.7947755280168025
erf,0.001,0.4,0.8,1.1798672194378055
erf,0.001,0.7,0.8,1.5481669396333362
erf,0.001,1.0,0.8,1.9990585678018356
erf,0.001,1.3,0.8,1.5183282971347314
erf,0.001,1.6,0.8,1.2598556157811815
erf,0.001,1.9,0.8,1.1314033959121297
erf,0.001,2.2,0.8,1.0558094630395511
erf,0.001,0.4,1.1,1.0276286243085124
erf,0.001,0.7,1.1,1.17202896284387
erf,0.001,1.0,1.1,1.5081959497404696
erf,0.001,1.3,1.1,1.2732565436816539
erf,0.001,1.6,1.1,1.0992985378317637
erf,0.001,1.9,1.1,1.0073183082925297
erf,0.001,2.2,1.1,0.9519421185664048
erf,0.001,0.4,1.4,0.8779693880291679
erf,0.001,0.7,1.4,0.9234732898953295
erf,0.001,1.0,1.4,1.4078504029571357
erf,0.001,1.3,1.4,1.2208289304516442
erf,0.001,1.6,1.4,1.0346572236908411
erf,0.001,1.9,1.4,0.9330359507541095
